location,start,end,lat,long,country,geo_id
FALLS VILLAGE,39,52,41.9559,-73.3632,us,4834232
Cornwall,3166,3174,41.8437,-73.3293,us,4831877
Kent,3179,3183,41.7248,-73.4771,us,4837232
Canaan,3284,3290,42.0273,-73.3293,us,5283386
Salisbury,3364,3373,41.9834,-73.4212,us,4842503
Sharon,3453,3459,41.8793,-73.4768,us,4842872
Falls Village,3464,3477,41.9559,-73.3632,us,4834232
Sharon,3616,3622,41.8793,-73.4768,us,4842872
Cornwall,3624,3632,41.8437,-73.3293,us,4831877
Salisbury,3637,3646,41.9834,-73.4212,us,4842503
Kent,3659,3663,41.7248,-73.4771,us,4837232
Canaan,3734,3740,42.0273,-73.3293,us,5283386
