location,start,end,lat,long,country,geo_id
TORRINGTON,39,49,41.8007,-73.1212,us,4844309
Torrington,208,218,41.8007,-73.1212,us,4844309
Litchfield,961,971,41.7473,-73.1887,us,4837799
Torrington,1765,1775,41.8007,-73.1212,us,4844309
Harwinton,1843,1852,41.7712,-73.0598,us,4835860
Bantam,1854,1860,41.7245,-73.2362,us,5281876
Litchfield,1862,1872,41.7473,-73.1887,us,4837799
Winsted,1874,1881,41.9212,-73.0601,us,4845953
Torrington,1890,1900,41.8007,-73.1212,us,4844309
Naugatuck River,2350,2365,41.3137,-73.0807,us,4839231
Waterbury,2943,2952,41.5582,-73.0515,us,4845193
Albany,3204,3210,42.6526,-73.7562,us,5106834
Torrington,3804,3814,41.8007,-73.1212,us,4844309
Weston,3825,3831,41.2009,-73.3807,us,4845578
Glastonbury,3853,3864,41.7123,-72.6081,us,4835003
Torrington,3866,3876,41.8007,-73.1212,us,4844309
Torrington,3967,3977,41.8007,-73.1212,us,4844309
