location,start,end,lat,long,country,geo_id
Ind.,42,46,40.0003,-86.2503,us,4921868
HAMMOND,52,59,41.5834,-87.5,us,4921100
Ind.,61,65,40.0003,-86.2503,us,4921868
Indiana,77,84,40.0003,-86.2503,us,4921868
Indiana,173,180,40.0003,-86.2503,us,4921868
Hammond,237,244,41.5834,-87.5,us,4921100
East Chicago,249,261,41.6392,-87.4548,us,4919857
Indiana,508,515,40.0003,-86.2503,us,4921868
Indiana,545,552,40.0003,-86.2503,us,4921868
Indiana,619,626,40.0003,-86.2503,us,4921868
Hammond,789,796,41.5834,-87.5,us,4921100
Indiana,849,856,40.0003,-86.2503,us,4921868
Lowell,976,982,41.2914,-87.4206,us,4923041
Hammond,1068,1075,41.5834,-87.5,us,4921100
East Chicago,1080,1092,41.6392,-87.4548,us,4919857
Indiana,1230,1237,40.0003,-86.2503,us,4921868
Indiana,1336,1343,40.0003,-86.2503,us,4921868
Indiana,1451,1458,40.0003,-86.2503,us,4921868
