location,start,end,lat,long,country,geo_id
Glen Carbon,618,629,38.7484,-89.9832,us,4239465
Edwardsville,770,782,38.8114,-89.9532,us,4237717
Illinois,1661,1669,40.0003,-89.2504,us,4896861
Edwardsville,3195,3207,38.8114,-89.9532,us,4237717
Edwardsville,3326,3338,38.8114,-89.9532,us,4237717
Edwardsville,3411,3423,38.8114,-89.9532,us,4237717
Glen Carbon,4585,4596,38.7484,-89.9832,us,4239465
Edwardsville,4999,5011,38.8114,-89.9532,us,4237717
Glen Carbon,5750,5761,38.7484,-89.9832,us,4239465
Glen Carbon,6021,6032,38.7484,-89.9832,us,4239465
