location,start,end,lat,long,country,geo_id
OMAHA,36,41,41.2586,-95.9378,us,5074472
Nebraska,61,69,41.5003,-99.7507,us,5073708
Nebraska,464,472,41.5003,-99.7507,us,5073708
Nebraska,1396,1404,41.5003,-99.7507,us,5073708
Douglas,1586,1593,41.3,-96.167,us,5067114
Lancaster,1595,1604,40.7833,-96.6836,us,5071741
Sarpy,1609,1614,41.1,-96.1336,us,5077695
Nebraska,1890,1898,41.5003,-99.7507,us,5073708
Nebraska,1956,1964,41.5003,-99.7507,us,5073708
Lincoln,1965,1972,40.8,-96.667,us,5072006
Cherry County,2308,2321,42.55,-101.1,us,5694243
