location,start,end,lat,long,country,geo_id
Mansfield,32,41,32.0377,-93.7002,us,4332494
MANSFIELD,120,129,32.0377,-93.7002,us,4332494
Mansfield,133,142,32.0377,-93.7002,us,4332494
Mansfield,212,221,32.0377,-93.7002,us,4332494
Shreveport,774,784,32.5252,-93.7502,us,4341513
Mansfield,873,882,32.0377,-93.7002,us,4332494
Shreveport,1051,1061,32.5252,-93.7502,us,4341513
Shreveport,1119,1129,32.5252,-93.7502,us,4341513
Shreveport,1162,1172,32.5252,-93.7502,us,4341513
Mansfield,1209,1218,32.0377,-93.7002,us,4332494
Mansfield,1865,1874,32.0377,-93.7002,us,4332494
Mansfield,3097,3106,32.0377,-93.7002,us,4332494
