location,start,end,lat,long,country,geo_id
Arlington,0,9,32.7357,-97.1081,us,4671240
ARLINGTON,58,67,32.7357,-97.1081,us,4671240
Iran,126,130,32,53,ir,130758
Kermanshah,133,143,34.5,47,ir,128222
Southlake,572,581,32.9412,-97.1342,us,4733313
Iran,713,717,32,53,ir,130758
Texas,762,767,31.2504,-99.2506,us,4736286
United States,864,877,39.76,-98.5,us,6252001
Islamic Republic,918,934,32,53,ir,130758
Iran,983,987,32,53,ir,130758
Iran,1022,1026,32,53,ir,130758
Arlington,1274,1283,32.7357,-97.1081,us,4671240
Arlington,1417,1426,32.7357,-97.1081,us,4671240
Houston,1997,2004,29.7633,-95.3633,us,4699066
Southlake,2024,2033,32.9412,-97.1342,us,4733313
Colleyville,2055,2066,32.881,-97.155,us,4682478
California,2121,2131,37.2502,-119.751,us,5332921
