location,start,end,lat,long,country,geo_id
Dagestani,21,30,43,47,ru,567293
MAKHACHKALA,39,50,42.9753,47.5022,ru,532096
Dagestan,135,143,43,47,ru,567293
Dagestan,257,265,43,47,ru,567293
Georgia,316,323,42,43.5,ge,614540
Azerbaijan,328,338,40.5,47.5,az,587116
Dagestan,645,653,43,47,ru,567293
Dagestani,656,665,43,47,ru,567293
Russians,755,763,60,100,ru,2017370
Dagestan,1556,1564,43,47,ru,567293
Dagestani,1596,1605,43,47,ru,567293
Makhachkala,1615,1626,42.9753,47.5022,ru,532096
Dagestan,1894,1902,43,47,ru,567293
Chechnya,1978,1986,43.3,45.7,ru,569665
Caucasus,2053,2061,42.5,45,ge,573081
Kabardino-Balkaria,2238,2256,43.5,43.5,ru,554667
