location,start,end,lat,long,country,geo_id
BUTLER COUNTY,53,66,39.4501,-84.5666,us,4507568
Butler County,69,82,39.4501,-84.5666,us,4507568
U.S.,261,265,39.76,-98.5,us,6252001
Ohio,309,313,40.2503,-83.0002,us,5165418
American,363,371,39.76,-98.5,us,6252001
Ohio,405,409,40.2503,-83.0002,us,5165418
Americans,556,565,39.76,-98.5,us,6252001
Butler County,665,678,39.4501,-84.5666,us,4507568
Hamilton,992,1000,39.3995,-84.5613,us,4513575
Middletown,1005,1015,39.5151,-84.3983,us,4518264
Butler County,1021,1034,39.4501,-84.5666,us,4507568
Ohio,1103,1107,40.2503,-83.0002,us,5165418
U.S.,1146,1150,39.76,-98.5,us,6252001
Ohio,1558,1562,40.2503,-83.0002,us,5165418
