location,start,end,lat,long,country,geo_id
Nebraska,110,118,41.5003,-99.7507,us,5073708
Norfolk,302,309,42.0283,-97.417,us,5073965
Norfolk,547,554,42.0283,-97.417,us,5073965
Norfolk,994,1001,42.0283,-97.417,us,5073965
Battle Creek,1041,1053,41.9995,-97.5984,us,5063564
Battle Creek,1081,1093,41.9995,-97.5984,us,5063564
Wayne,1137,1142,42.2306,-97.0178,us,5081454
Winside,1187,1194,42.1764,-97.175,us,5082121
Wayne,1223,1228,42.2306,-97.0178,us,5081454
Bloomfield,1272,1282,42.5989,-97.6456,us,5064284
Knox County,1310,1321,42.6333,-97.8837,us,5071580
Pierce,1365,1371,42.1992,-97.5267,us,5075148
Pierce,1458,1464,42.1992,-97.5267,us,5075148
Neligh,1551,1557,42.1286,-98.0298,us,5073735
Antelope County,1585,1600,42.1667,-98.067,us,5063023
Nebraska,1643,1651,41.5003,-99.7507,us,5073708
Madison,1691,1698,41.8283,-97.455,us,5072532
Plainview,1712,1721,42.3497,-97.792,us,5075277
Thurston,1735,1743,42.1772,-96.7009,us,5080272
Wakefield,1758,1767,42.2692,-96.865,us,5081262
Laurel,1781,1787,42.4294,-97.0898,us,5071797
Coleridge,1806,1815,42.5061,-97.2037,us,5065942
