location,start,end,lat,long,country,geo_id
Sri Lankan,44,54,7,81,lk,1227603
Sri Lankan,782,792,7,81,lk,1227603
Sinhalese,877,886,7,81,lk,1227603
Sri Lanka,925,934,7,81,lk,1227603
Sinhalese,1067,1076,7,81,lk,1227603
Sinhalese,1324,1333,7,81,lk,1227603
Sri Lanka,1549,1558,7,81,lk,1227603
Sri Lanka,1846,1855,7,81,lk,1227603
Sri Lanka,2053,2062,7,81,lk,1227603
Sri Lankan,2117,2127,7,81,lk,1227603
Sri Lankan,2268,2278,7,81,lk,1227603
Sri Lankan,2377,2387,7,81,lk,1227603
Sri Lankan,2739,2749,7,81,lk,1227603
Sri Lankan,2934,2944,7,81,lk,1227603
Akuressa,3484,3492,6.09639,80.4808,lk,1252125
Matara,3497,3503,5.94861,80.5428,lk,1235846
Sri Lankan,3537,3547,7,81,lk,1227603
Colombo,3556,3563,6.93194,79.8478,lk,1248991
Sri Lankan,3569,3579,7,81,lk,1227603
Sinhalese,3707,3716,7,81,lk,1227603
Sri Lanka,3780,3789,7,81,lk,1227603
Sri Lanka,3952,3961,7,81,lk,1227603
Sinhalese,4139,4148,7,81,lk,1227603
Sri Lankan,4466,4476,7,81,lk,1227603
Sri Lankan,4517,4527,7,81,lk,1227603
Sri Lanka,4821,4830,7,81,lk,1227603
Sri Lanka,4894,4903,7,81,lk,1227603
