location,start,end,lat,long,country,geo_id
West Virginia,0,13,38.5004,-80.5001,us,4826850
Wood County,73,84,39.2001,-81.5012,us,4827706
W. Va.,86,92,38.5004,-80.5001,us,4826850
Greenwood,156,165,37.8554,-81.6307,us,4807666
W. Va.,167,173,38.5004,-80.5001,us,4826850
Meigs County,221,233,39.1001,-82.0165,us,4518038
Pomeroy,333,340,39.0276,-82.0338,us,4521708
Meigs County,344,356,39.1001,-82.0165,us,4518038
Meigs County,459,471,39.1001,-82.0165,us,4518038
Athens,680,686,39.3292,-82.1013,us,4505542
