location,start,end,lat,long,country,geo_id
Mass.,0,5,42.3656,-71.1083,us,6254926
Chicopee,179,187,42.1726,-72.5949,us,4933002
Massachusetts,383,396,42.3656,-71.1083,us,6254926
Ludlow,457,463,42.1601,-72.4759,us,4942744
Boston,564,570,42.3584,-71.0598,us,4930956
West Stockbridge,680,696,42.3459,-73.3662,us,4955098
Springfield,713,724,42.1015,-72.5898,us,4951788
West Newton,938,949,42.3501,-71.2328,us,4955033
Boston,1060,1066,42.3584,-71.0598,us,4930956
Plymouth,1195,1203,41.9584,-70.6673,us,4947597
Winthrop,1242,1250,42.3751,-70.9828,us,4955993
Westfield,2480,2489,42.1251,-72.7495,us,4955190
West Stockbridge,3133,3149,42.3459,-73.3662,us,4955098
New York,3159,3167,43.0003,-75.4999,us,5128638
Chicopee,3207,3215,42.1726,-72.5949,us,4933002
Framingham,3262,3272,42.2793,-71.4162,us,4937230
Massachusetts,3381,3394,42.3656,-71.1083,us,6254926
Boston,3562,3568,42.3584,-71.0598,us,4930956
Boston,3599,3605,42.3584,-71.0598,us,4930956
New York,3874,3882,43.0003,-75.4999,us,5128638
Boston,4704,4710,42.3584,-71.0598,us,4930956
Allston,4841,4848,42.3584,-71.1259,us,4928934
Weston,4853,4859,42.3668,-71.3031,us,4955259
Boston Harbor,4898,4911,42.3418,-70.9662,us,4930983
Allston,4996,5003,42.3584,-71.1259,us,4928934
Weston,5008,5014,42.3668,-71.3031,us,4955259
