location,start,end,lat,long,country,geo_id
Connecticut,0,11,41.667,-72.6665,us,4831725
HARTFORD,56,64,41.7637,-72.6851,us,4835797
Connecticut,67,78,41.667,-72.6665,us,4831725
New Jersey,1170,1180,40.1671,-74.4999,us,5101760
Connecticut,1297,1308,41.667,-72.6665,us,4831725
U.S.,1386,1390,39.76,-98.5,us,6252001
Hartford,1492,1500,41.7637,-72.6851,us,4835797
Connecticut,1584,1595,41.667,-72.6665,us,4831725
U.S.,1938,1942,39.76,-98.5,us,6252001
Connecticut,2127,2138,41.667,-72.6665,us,4831725
Connecticut,2582,2593,41.667,-72.6665,us,4831725
Africa,2706,2712,7.1881,21.0938,,6255146
Caribbean,2718,2727,15,-75,,3572951
America,2732,2739,39.76,-98.5,us,6252001
Connecticut,2762,2773,41.667,-72.6665,us,4831725
Connecticut,2955,2966,41.667,-72.6665,us,4831725
