location,start,end,lat,long,country,geo_id
Roanoke,37,44,37.271,-79.9414,us,4782167
ROANOKE,46,53,37.271,-79.9414,us,4782167
Arkansas,64,72,34.7504,-92.5004,us,4099753
Virginia,108,116,37.5481,-77.4467,us,6254928
Roanoke,158,165,37.271,-79.9414,us,4782167
Arizona,337,344,34.5003,-111.501,us,5551752
Virginia,620,628,37.5481,-77.4467,us,6254928
Virginia,905,913,37.5481,-77.4467,us,6254928
Virginia,987,995,37.5481,-77.4467,us,6254928
Virginia,1267,1275,37.5481,-77.4467,us,6254928
McLean,1579,1585,38.9343,-77.1775,us,4772354
Alexandria,1617,1627,38.8048,-77.0469,us,4744091
Bath County,1662,1673,38.0668,-79.7331,us,4745776
