location,start,end,lat,long,country,geo_id
Ohio,0,4,40.2503,-83.0002,us,5165418
SEVIERVILLE,39,50,35.8681,-83.5618,us,4656585
Tenn.,52,57,35.7503,-86.2503,us,4662168
Sevierville,75,86,35.8681,-83.5618,us,4656585
Ohio,94,98,40.2503,-83.0002,us,5165418
Sevierville,210,221,35.8681,-83.5618,us,4656585
Swanton,255,262,41.5887,-83.8911,us,5173514
Ohio,264,268,40.2503,-83.0002,us,5165418
Knoxville,462,471,35.9606,-83.9207,us,4634946
Knoxville,477,486,35.9606,-83.9207,us,4634946
Swanton,665,672,41.5887,-83.8911,us,5173514
Toledo,699,705,41.6639,-83.5552,us,5174035
Ohio,709,713,40.2503,-83.0002,us,5165418
